"LOCATION","TYPE","SERIAL","CARD","MODEL","MATERIAL","RMA","QTY","TECH","PHONE","DATA","DATE","RANDOM"
"BB1300FL4","RETNDOA","A61LC7JW113176","A61LC7JW113176","C61-100","IRD","RMA-510","0","880294","407-514-6020","12006301",03/25/2021,"iuojee"
BB1300FL4,REC,D32HD1MD410384,"002718137272",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,eeyxee
BB1300FL4,REC,D32HF1TC411880,"002723346512",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,grrhsn
BB1300FL4,REC,D32BD1LQ311535,"002732100066",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,fuwhjc
BB1300FL4,RETNGOOD,G06DA0PG000222,"002738356571",H24-700C-R,,,0,"039477","0609637794","11180211",2021-03-16 00:00:00,voqhja
BB1300FL4,REC,D32HG2GM610437,"002749725897",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,vfxurz
BB1300FL4,REC,D32BE1PE610014,"002756777351",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,ulykbd
BB1300FL4,REC,D32HG2HQ411924,"002764043846",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,rgsvfb
BB1300FL4,REC,D32HB1EX410450,"002768580868",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,lpnllp
BB1300FL4,REC,D32HF2DC411440,"002777284601",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,kjxene
BB1300FL4,REC,D32BF2AV111396,"002780768228",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,onwyig
BB1300FL4,REC,D32BF2AM111555,"002904464852",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,eniirv
BB1300FL4,REC,D32BE1QL111262,"002905494379",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,nddogl
BB1300FL4,REC,D32HG3AB410838,"002918318409",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,oncesq
BB1300FL4,REC,D32BD1MT310680,"002933731339",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,ehykhx
BB1300FL4,REC,D32HF2FL411787,"002950281598",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,apxaqe
BB1300FL4,REC,D32BA1BC310647,"002953084569",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,jnojsv
BB1300FL4,REC,D32HG2GC510813,"002960398861",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,angwbr
BB1300FL4,REC,D32HE1PL410309,"002960507552",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,otnjqq
BB1300FL4,RETNGOOD,G06DA1BW001642,"002968599890",H24-700C-R,,,0,"119113","0609637794","11180211",2021-03-16 00:00:00,nhrdio
BB1300FL4,RETNGOOD,G06DA1GJ000363,"002971469099",H24-700C-R,,,0,"110930","0609637794","11180211",2021-03-16 00:00:00,bgirfz
BB1300FL4,REC,D32HD1LX411643,"002971496597",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,ameesa
BB1300FL4,RETNGOOD,A32LA2JR111608,"002972390328",H25BPX-100C-R,,,0,"130078","0609637794","11180212",2021-03-16 00:00:00,cqnctm
BB1300FL4,REC,D32BD1JV610640,"002999738160",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,bndsmh
BB1300FL4,RETNGOOD,G06DA1CT006140,"003002353468",H24-700C-R,,,0,"015704","0609637794","11180211",2021-03-16 00:00:00,drurbi
BB1300FL4,RETNGOOD,G06DA0RN003086,"003018945877",H24-700C-R,,,0,"048244","0609637794","11180211",2021-03-16 00:00:00,dhsuoa
BB1300FL4,REC,D32BC1GQ110949,"003045429978",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,oswftd
BB1300FL4,REC,D32HG2LY511860,"003047852201",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,vnzoku
BB1300FL4,REC,D32HF2BW512677,"003047906403",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,nuqlsx
BB1300FL4,REC,D32HE1QA512011,"003048661098",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,etalnj
BB1300FL4,REC,D32HG2QF411746,"003059916175",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,xummno
BB1300FL4,REC,D32HG2KV410972,"003061333757",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,rgkreo
BB1300FL4,REC,D32HF2CE412661,"003065551289",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,dxdmkn
BB1300FL4,REC,D32HG2PM411398,"003071922995",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,tzpyeu
BB1300FL4,REC,D32HG2LB611263,"003075433940",H25BPX-500C-R,,,0,,"0614812338","11202972",2021-05-13 00:00:00,oyqmhz
BB1300FL4,REC,G54DC6RL004709,"003251194894",HR54BPX-700C-R,,,0,,"0612912617","11194072",2021-04-19 00:00:00,jqzizq
BB1300FL4,REC,G54DE7CM001133,"003251355123",HR54BPX-700C-R,,,0,,"0612912617","11194071",2021-04-19 00:00:00,rckvcw
BB1300FL4,REC,G06DA0LC001159,"003251432120",H24-700C-R,,,0,,"0614812338","11202971",2021-05-13 00:00:00,gxezds
BB1300FL4,REC,C07BC1KU401758,"003251470203",HR24-200C-R,,,0,,"0610505611","11177846",2021-03-10 00:00:00,ssegei
BB1300FL4,REC,A32LA1HF122251,"003251517656",H25BPX-100C-R,,,0,,"0611993446","11190182",2021-04-03 00:00:00,yqkvrl
BB1300FL4,REC,G54DE7BA008643,"003251554766",HR54BPX-700C-R,,,0,,"0612912617","11194071",2021-04-19 00:00:00,irblww
BB1300FL4,REC,G54DA5MU000275,"003251739854",HR54BPX-700C-R,,,0,,"0612912617","11194072",2021-04-19 00:00:00,vtcwmv
BB1300FL4,REC,G54DE7CF006950,"003252022243",HR54BPX-700C-R,,,0,,"0612912617","11194072",2021-04-19 00:00:00,lltdii
